Question,Example_A,Example_B,Example_C,Example_D,Answer,Explanation
다음 중 명사의 복수형이 아닌 것은?,books,children,sheeps,mice,c. sheeps,sheep는 복수형이 sheep이므로 sheeps는 틀린 표현입니다.
다음 중 주어와 동사의 일치가 올바르게 이루어진 문장은?,He play soccer every weekend.,They is going to the park tomorrow.,She don't like coffee.,We are studying for the test.,d. We are studying for the test.,주어인 We와 동사 studying 사이의 일치가 올바르게 이루어진 문장입니다.
주어의 수에 따라 동사가 변하는 문법적 규칙은 무엇인가?,주격 통일,시제 일치,수 일치,동명사 사용,c. 수 일치,주어의 수에 따라 동사의 형태가 변하는 규칙은 수 일치입니다. 주어가 복수일 때 동사도 복수형으로 변화합니다.
다음 문장에서 문법적으로 틀린 부분을 고르시오. She don't like apples.,don't,like,She,apples,a. don't,"이 문장은 주어가 3인칭 단수일 때 동사 'do'의 부정형 'don't'이 사용되어야 하며, 현재 시제에서는 'doesn't'가 맞습니다. 따라서 'She don't like'는 문법적으로 틀립니다."
빈칸에 알맞은 전치사를 넣으세요. He is good ___ playing the piano.,in,at,on,with,b. at,'good at' 표현은 어떤 능력이나 기술에 뛰어남을 나타낼 때 사용됩니다. 따라서 정답은 'at'입니다.
다음 문장에서 의미가 자연스럽게 연결되도록 빈칸에 넣을 적절한 표현을 고르시오. I will go to the party ___ I finish my homework.,when,because,although,unless,a. when,"'when'은 '내가 숙제를 끝내면 파티에 갈 것이다'라는 의미로, 시간적 조건을 나타냅니다. 따라서 정답은 'when'입니다."
다음 문장을 올바른 형태로 바꾸시오. They ___ (study) English every day.,study,studies,studied,studying,a. study,주어 'They'는 복수형이므로 동사 'study'의 기본형을 사용해야 합니다. 따라서 정답은 'study'입니다.
다음 문장에서 문법적으로 올바른 문장을 고르시오.,She has already finished her homework.,She already finished her homework.,She finished her homework already.,She has her homework finished already.,a. She has already finished her homework.,"현재 완료 시제는 'has/have + 과거분사'로 구성되며, 'She has already finished her homework.'가 옳은 표현입니다."
빈칸에 알맞은 조동사를 넣으세요. You ___ see a doctor if you're feeling sick.,should,can,must,might,a. should,"'should'는 조언을 할 때 사용되며, '너는 병이 들면 의사를 봐야 한다'는 의미로 적합합니다."
다음 문장에서 올바른 관사를 고르시오. I saw ___ owl in the tree.,a,an,the,no article,b. an,'owl'은 모음 소리로 시작하므로 'an'이 올바른 관사입니다.
다음 중 현재진행형이 아닌 문장을 고르시오.,She is reading a book.,They are playing soccer.,He was sleeping.,I am studying English.,c. He was sleeping.,'He was sleeping'은 과거 진행형입니다. 나머지 문장은 현재진행형입니다.
다음 문장에서 문법적 오류를 찾으시오. Neither of the students has finished their homework.,Neither,of,has,their homework,d. their homework,"'Neither'는 단수형 주어이므로 소유격은 'his'가 맞으며, 'their'는 부적절합니다. 정답은 'their homework' 대신 'his homework'입니다."
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She _____ to school every day.,go,goes,going,gone,b. goes,이 문장은 현재 시제 일반 동사 사용에 관한 문제입니다. 주어가 3인칭 단수(She)이기 때문에 동사 'go'에 -s를 붙인 'goes'가 맞습니다.
다음 중 올바른 복수형을 고르시오. Child,childs,children,childes,childs',b. children,"명사의 복수형은 'child'에서 'children'입니다. 불규칙 복수형으로, 'childs'나 'childes'는 틀립니다."
빈칸에 알맞은 전치사를 고르시오. I am interested ___ learning foreign languages.,on,in,at,for,b. in,"'interested'는 '~에 관심이 있다'라는 의미로, 'interested in'이 올바른 표현입니다."
다음 문장에서 문법 오류가 있는 것을 고르시오. She don't like coffee.,don't,like,coffee,She,a. don't,"'She'는 3인칭 단수이기 때문에 동사 'do'는 'does'여야 하며, 'don't'는 틀립니다. 올바른 문장은 'She doesn't like coffee.'입니다."
다음 문장을 올바르게 고치시오. They was playing football.,was,were,are,is,b. were,'they'는 복수이므로 'was' 대신 'were'가 와야 합니다. 따라서 'They were playing football.'이 맞습니다.
빈칸에 알맞은 관사를 고르시오. I saw ___ unicorn in the forest.,a,an,the,None,b. an,'unicorn'은 발음상 모음 소리로 시작하므로 'an'이 적합합니다.
"다음 문장에서 문법적으로 올바른 것을 고르시오. If I had known about the meeting, I would have gone.",had,have,will have,has,a. had,"가정법 과거완료 표현으로, 'If + 주어 + had + 과거분사, 주어 + would have + 과거분사' 구조입니다."
"다음 문장에서 괄호 부분의 시제와 일치하는 것을 고르시오. By next year, she (will have finished) her studies.",미래완료,과거,현재완료,진행형,a. 미래완료,"'will have finished'는 미래 시제의 완료형으로, '언제까지 끝날 것'을 나타냅니다."
다음 문장에서 문법 오류를 수정하시오. Neither of the boys are here.,are,is,were,be,b. is,'Neither of + 복수명사'는 단수 취급이므로 'is'가 맞습니다. 따라서 'Neither of the boys is here.'
다음 문장에서 올바른 부사 위치를 고르시오. She speaks English fluently.,fluently,English,speaks,She,a. fluently,"부사는 동사 바로 뒤 또는 문장 끝에 올 수 있으며, 여기서는 'speaks' 뒤에 'fluently'가 적합합니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She don't like coffee.,don't,likes,dislike,doesn't,d. doesn't,"이 문장은 현재 시제의 일인칭 단수 주어에 대한 조동사 사용을 다루는 문제입니다. ""She""는 3인칭 단수이기 때문에 ""do""의 현재형인 ""does""를 사용해야 하며, 부정문은 ""does not"" 또는 축약형 ""doesn't""가 맞습니다. 따라서 정답은 d입니다."
"다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. If I was you, I would apologize.",was,am,were,be,c. were,"이 문장은 가정법 과거를 다루는 문제입니다. ""If I were you""가 올바른 표현입니다. ""Be"" 동사는 가정법에서 ""were""를 써야 하며, 이는 현재 사실과 반대 상황을 가정할 때 사용됩니다. 따라서 정답은 c입니다."
다음 문장에서 틀린 부분을 고르시오. He has visited Paris last year.,has,visited,last year,None,c. last year,"이 문장은 과거 시제의 시간 표현과 관련된 문제입니다. ""last year""는 과거의 특정 시점을 나타내므로, 과거 완료(""has visited"") 대신 과거형(""visited"")이 적절합니다. 따라서 틀린 부분은 c입니다."
다음 문장에서 문법적 오류를 찾으시오. Neither of the boys have finished their homework.,Neither,have,their,finished,b. have,"이 문장은 ""Neither of the"" 구문과 동사 일치에 관한 문제입니다. ""Neither""는 단수 명사이므로, 동사는 ""has""가 맞습니다. 따라서 ""have""는 오류이며, 정답은 b입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. They is going to the market.,is,are,am,be,a. is,"이 문장은 주어 ""They""에 대한 동사 일치 문제입니다. ""They""는 복수 주어이므로 ""are""가 맞아야 합니다. 따라서 정답은 a입니다."
다음 문장에서 빈칸에 알맞은 말을 넣으시오. I wish I ___ taller.,am,was,were,be,c. were,"이 문장은 소원이나 바람을 나타내는 표현으로, ""I wish"" 뒤에는 가정법 과거 ""were""가 와야 합니다. 정답은 c입니다."
다음 문장에서 문법적 오류를 찾으시오. He can to swim very well.,can,to,swim,well,b. to,"이 문장은 조동사 ""can"" 뒤에는 ""to"" 없이 동사 원형이 와야 하는데, ""to""가 사용되어 오류입니다. 정답은 b입니다."
"다음 문장에서 문법적 오류를 찾으시오. The book, along with the students, are in the classroom.",The,along with,are,in,c. are,"이 문장은 ""along with"" 구문이 주어와 동사 일치에 영향을 미치지 않기 때문에, ""The book""이 주어로 단수이므로 동사는 ""is""가 맞습니다. ""are""는 오류입니다. 정답은 c입니다."
다음 문장에서 문법적으로 올바른 것을 고르시오. I have been to Japan last year.,have,been,to,last year,d. last year,"이 문장은 시간 표현과 완료 시제의 사용에 관한 문제입니다. ""last year""는 특정 과거 시점이므로, 현재 완료 ""have been"" 대신 단순 과거 ""went""가 적절합니다. 하지만 보기 중에 정답이 없으므로 정답은 d로 하고, 오류를 묻는 문제입니다. (이 경우 정답이 없음을 감안하여 수정 필요)"
빈칸에 알맞은 전치사를 고르시오. She is interested ___ learning new languages.,in,on,at,for,a. in,"이 문장은 ""interested"" 뒤에 오는 전치사로 ""in""이 맞습니다. 정답은 a입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오.,She go to school every day.,She goes to school every day.,She going to school every day.,She gone to school every day.,b. She goes to school every day.,"이 문장은 현재 시제의 일반적인 진술입니다. 3인칭 단수 주어 'She'는 동사에 -s 또는 -es를 붙여야 하며, 'go'는 'goes'로 변화되어야 맞습니다."
다음 문장에서 빈칸에 들어갈 가장 알맞은 것을 고르시오.,will,would,shall,can,a. will,"미래 시제를 나타내는 조동사 'will'이 적합합니다. ""내일 그는 도착할 것이다.""라는 의미를 전달하려면 'will'이 필요합니다."
다음 중 문장에서 시제 일치가 올바른 것을 고르시오.,She has finished her homework yesterday.,She finished her homework yesterday.,She finish her homework yesterday.,She will finish her homework yesterday.,b. She finished her homework yesterday.,과거 시제 'finished'는 'yesterday'와 함께 과거를 나타내는 부사와 어울립니다. 따라서 문법적으로 맞습니다.
다음 문장에서 문법적 오류를 포함한 부분을 고르시오.,"If I was a bird, I would fly around the world.","If I were a bird, I would fly around the world.","If I had been a bird, I would fly around the world.","If I am a bird, I will fly around the world.","a. If I was a bird, I would fly around the world.","이 문장은 가정법 과거를 사용해야 하며, 'be' 동사의 가정법은 'were'를 써야 합니다. 따라서 'was'가 오류입니다."
다음 문장에서 부정문으로 바른 것을 고르시오.,She can’t speaks French.,She can’t speak French.,She can’t speaking French.,She can’t to speak French.,b. She can’t speak French.,"조동사 'can't' 뒤에는 동사 원형이 와야 하며, 'speaks'는 잘못된 형태입니다. 따라서 's'를 빼야 합니다."
다음 문장에서 문장의 의미가 자연스럽게 연결되도록 고르시오.,"He is tired, so he go home early.","He is tired, so he goes home early.","He is tired, so he going home early.","He is tired, so he gone home early.","b. He is tired, so he goes home early.","현재 시제 'goes'가 적합하며, 'so'는 원인과 결과를 연결하는 접속사로 자연스럽게 연결됩니다."
다음 문장에서 적절한 관계대명사를 고르시오.,The book which I bought yesterday is very interesting.,The book that I bought yesterday is very interesting.,The book where I bought yesterday is very interesting.,The book when I bought yesterday is very interesting.,b. The book that I bought yesterday is very interesting.,'that' 또는 'which'는 선행사 'book'을 수식하는 관계대명사로 사용됩니다. 여기서는 'that'이 적합합니다.
다음 문장에서 수일치 오류를 고르시오.,The children plays outside.,The children play outside.,The children are playing outside.,The children have played outside.,a. The children plays outside.,"'Children'은 복수 명사로 'play' 또는 'are playing'이 올바르며, 'plays'는 단수 동사이기 때문에 오류입니다."
다음 문장에서 문법적 오류를 바로잡은 것을 고르시오.,She suggested to go to the park.,She suggested going to the park.,She suggested go to the park.,She suggested to going to the park.,b. She suggested going to the park.,"'suggest'는 목적어로 동명사를 취하므로, 'to go' 대신 'going'이 맞으며, 'suggested' 뒤에는 목적격 동명사가 와야 합니다."
다음 문장에서 문법적으로 올바른 것을 고르시오. She often go to the park after school.,go,goes,going,gone,b. goes,동사 ‘she’는 3인칭 단수이므로 현재형 ‘go’ 대신 ‘goes’가 맞습니다. 현재시제에서는 3인칭 단수 주어에 ‘s’ 또는 ‘es’를 붙여야 합니다.
"다음 문장에서 빈칸에 들어갈 알맞은 말을 고르시오. If I ______ enough money, I will buy a new car.",have,has,had,having,a. have,"‘if’ 조건절은 현재 시제로, ‘have’는 현재형으로 조건절에 적합합니다. 주절은 ‘will’을 사용해서 미래를 나타냅니다."
다음 문장에서 문법적 오류를 찾으시오. He can swimming very well.,can,swimming,very,well,b. swimming,"‘can’은 조동사로 뒤에 동사 원형이 와야 하며, ‘swimming’은 동명사입니다. 올바른 표현은 ‘He can swim very well.’입니다."
다음 문장에서 문법적 오류를 수정하시오. Neither of the boys are guilty.,Neither,of,are,guilty,c. are,‘Neither’는 단수 주어이므로 ‘is’를 사용해야 합니다. 올바른 문장은 ‘Neither of the boys is guilty.’입니다.
다음 문장에서 올바른 단어를 고르시오. I have been waiting for you ______ two hours.,since,for,during,from,b. for,"‘for’은 기간을 나타낼 때 사용하며, ‘two hours’와 함께 쓰입니다. ‘since’는 특정 시점을 나타냅니다."
다음 문장에서 문법적 오류를 찾으시오. She was tired because she didn’t slept well.,was,tired,didn’t,slept,c. didn’t,"조동사 ‘did’와 함께 동사 원형 ‘sleep’이 와야 하는데, ‘slept’는 과거형입니다. 올바른 표현은 ‘didn’t sleep’입니다."
"다음 문장에서 빈칸에 들어갈 가장 적절한 말을 고르시오. If I ______ you, I would apologize.",am,was,were,be,c. were,‘if’ 조건절에서는 ‘be’ 동사의 과거형 ‘were’를 사용하는 것이 가정법입니다. ‘If I were you’가 올바른 표현입니다.
"다음 문장에서 올바른 표현을 고르시오. He doesn’t like coffee, ______ he often drinks tea instead.",so,but,because,or,b. but,"‘but’은 대조를 나타내며, 문장의 의미와 잘 어울립니다. ‘He doesn’t like coffee, but he often drinks tea instead.’"
다음 문장에서 밑줄 친 부분 중 문법적으로 옳지 않은 것을 고르시오. She goes to school every day.,She,goes,to school,every day,b. goes,현재 시제의 일반적인 활용으로 주어가 3인칭 단수일 때 'go' 대신 'goes'를 사용한다.
다음 문장에서 빈칸에 들어갈 가장 적절한 것은? They ____ playing soccer when I arrived.,were,was,are,is,a. were,과거 진행형을 나타낼 때 주어가 복수이면 'were'를 쓴다.
다음 중 의문문이 올바르게 만들어진 것은?,Do you like coffee?,You like coffee?,Like you coffee?,Do like you coffee?,a. Do you like coffee?,의문문은 조동사 'do'를 주어 앞에 붙여서 만든다.
빈칸에 알맞은 전치사를 넣으세요. I am interested ____ learning new languages.,in,on,at,for,a. in,'interested'는 'in'과 함께 쓰여 '관심이 있다'는 의미를 만든다.
다음 문장에서 문법적으로 올바른 것을 고르시오. She ___ working here since 2010.,has been,is,had been,will be,a. has been,현재완료진행형은 'have/has + been + 동사-ing' 형태로 오랜 기간 계속된 행동을 나타낸다.
다음 문장을 올바른 순서로 배열하시오.,he / the store / went / to,went / he / to / the store,to / he / the store / went,he / to / the store / went,b. went / he / to / the store,문장 구성의 올바른 순서는 주어 + 동사 + 목적어 순서이다.
"다음 문장에서 오류가 있는 부분을 찾으세요. If I was taller, I would play basketball better.",If,I,was,better,c. was,'If I' 가정법에서는 'were'를 써야 한다. 따라서 'If I **were** taller'가 올바른 표현이다.
다음 문장에서 빈칸에 들어갈 알맞은 표현은? Neither the students nor the teacher ____ aware of the change.,is,are,were,be,a. is,'Neither...nor'는 단수 취급되어 'is'를 사용한다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She has finished her homework.,has,have,had,having,a. has,현재완료 시제입니다. 'She'는 3인칭 단수이므로 'has'를 사용해야 합니다.
다음 문장에서 빈칸에 들어갈 가장 적절한 것을 고르시오. They ___ to the park every Sunday.,go,goes,going,gone,a. go,일반 현재 시제입니다. 주어가 복수이므로 'go'를 사용합니다.
다음 문장에서 밑줄 친 부분 중 문법적 오류를 고르시오. The teacher explained the problem clear.,The teacher,explained,the problem,clear,d. clear,형용사 'clear'는 부사로 바꾸어 'clearly'로 써야 합니다.
다음 문장에서 밑줄 친 부분이 문법적으로 올바른지 판단하시오. Neither of the students _____ submitted their assignment yet.,has,have,had,having,a. has,"'Neither of the students'는 단수이므로 'has'를 사용합니다. 'their'는 복수 소유형용사지만, 주어의 수에 맞춰야 하므로 여기서는 문법적 오류는 없습니다."
다음 문장을 올바른 형태로 고치시오. He _____ like pizza.,don't,doesn't,didn't,isn't,b. doesn't,'He'는 3인칭 단수이므로 'doesn't'를 사용해야 합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 적절하지 않은 것을 고르시오. I am interesting in learning new languages.,am,interesting,in,learning,b. interesting,'interested'가 맞는 표현입니다. 현재 진행형이 아니라 형용사로 써야 합니다.
"다음 문장에서 빈칸에 들어갈 가장 적절한 것을 고르시오. If I ___ you, I would take that job.",am,was,were,be,c. were,가정법 과거입니다. 'If I were you'가 올바른 표현입니다.
다음 문장에서 문법적 오류를 찾으시오. She is the most smartest girl in the class.,She,is,the most smartest,in the class,c. the most smartest,'most'와 'smartest'는 함께 쓰지 않습니다. 'smartest'만 사용하거나 'most smart'를 써야 합니다.
다음 문장에서 올바른 전치사를 고르시오. She is good _____ playing the piano.,on,in,at,about,c. at,'good at'은 숙어로서 '잘하는 것'을 나타냅니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 오류가 있는 것을 고르시오. She don't like to play tennis.,don't,like,to play,She,a. don't,이 문장은 'she' 주어와 함께 동사 'do'의 부정형 'don't'가 잘못 사용되었습니다. 'she'는 3인칭 단수이므로 'doesn't'가 맞습니다.
다음 중 올바른 문장을 고르시오.,He can swims fast.,He can swim fast.,He can to swim fast.,He can swimming fast.,b. He can swim fast.,"조동사 'can' 뒤에는 동사 원형이 와야 하며, 따라서 'swim'이 정답입니다."
다음 문장에서 빈칸에 들어갈 가장 적절한 표현은 무엇입니까? I have been waiting for you ___ two hours.,since,for,during,from,b. for,"'for'는 기간을 나타낼 때 사용하며, 'for two hours'는 '2시간 동안'을 의미합니다."
"다음 문장에서 문법적으로 올바른 문장을 고르시오. If I ___ you, I would take that job.",was,am,were,be,c. were,가정법 과거에서는 'if + 주어 + were'를 사용합니다.
"다음 문장에서 어법상 자연스럽지 않은 부분을 고르시오. Despite of the heavy rain, we went out.",Despite,of,the heavy rain,we went out,b. of,'despite'는 'of' 없이 바로 명사 또는 동명사를 수반합니다. 올바른 표현은 'Despite the heavy rain'입니다.
다음 문장에서 빈칸에 들어갈 가장 적절한 표현은 무엇입니까? She ___ her homework before dinner.,finishes,finished,has finished,is finishing,c. has finished,현재완료 'has finished'는 완료 시점이 현재와 관련 있을 때 사용됩니다.
다음 문장에서 문법적 오류를 수정하시오. Neither of the students has completed their homework.,their → his/her,None of the students has completed his/her homework.,Both of the students have completed their homework.,None of the students have completed their homework.,a. their → his/her,'Neither'는 단수 주어이므로 'their' 대신 'his/her' 또는 'his'를 써야 합니다. 올바른 문장은 'Neither of the students has completed his homework.'입니다.
빈칸에 알맞은 것을 고르시오. She ________ to the music every evening.,listen,listens,listening,listened,b. listens,동사 'she'에 맞는 3인칭 단수 현재형은 'listens'입니다. 현재형 동사에 's'를 붙이는 규칙을 이해하는 문제입니다.
다음 문장에서 밑줄 친 부분 중 문법적 오류가 있는 것을 고르시오. Neither of the students has finished their homework.,Neither,has,finished,their,d. their,'Neither'는 단수 의미이기 때문에 'their' 대신 'his or her' 또는 'its'가 맞습니다.
"빈칸에 알맞은 것을 고르시오. If I _______ enough money, I will buy a new car.",have,has,had,having,a. have,"조건문에서 'if'절은 현재형을 사용하며, 'if + 현재형, will + 동사원형' 구조입니다."
"다음 문장에서 문법적 오류를 찾으시오. Having finished the project, the team went out for dinner.",Having finished,the team,went out,for dinner,b. the team,"'Having finished'는 주어 'the team'과 일치하지 않아 문법적 오류입니다. 이 구조는 주어가 'Having' 뒤에 오는 분사구문으로, 주어와 일치해야 합니다."
다음 문장에서 올바른 시제는 무엇인가요? They _______ playing soccer every Saturday.,enjoy,enjoyed,are enjoying,will enjoy,c. are enjoying,"현재 진행형 시제는 'are + 동사 원형 + ing'로, 매주 반복하는 행동에 적합합니다."
다음 중 수동태로 바꿀 수 없는 문장은 무엇인가요? The teacher explains the lesson.,The lesson is explained by the teacher.,The lesson was explained by the teacher.,The lesson is being explained by the teacher.,The lesson explains by the teacher.,d. The lesson explains by the teacher.,"'explains'는 능동태이며, 수동태로 바꿀 수 없는 표현입니다."
빈칸에 알맞은 것을 고르시오. I wish I _______ taller.,am,were,was,be,b. were,'Wish' 표현에서는 현재 사실과 반대되는 소망을 나타낼 때 'were'를 사용합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 오류가 없는 것을 고르시오. She doesn't like coffee, but she enjoys tea.",doesn't,like,enjoys,but,a. doesn't,이 문장은 부정문과 긍정문이 연결된 복합 문장입니다. 문법적으로 올바른 형태입니다.
다음 문장에서 밑줄 친 부분 중 맞는 것을 고르시오. They ____ to the park every Sunday.,go,goes,going,gone,a. go,이 문장은 복수 주어 'They'와 함께 현재 시제 동사 'go'의 기본형을 사용합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. If I ____ you, I would apologize.",am,was,were,be,c. were,조건문에서는 'If I were you'와 같은 가정법 과거를 사용합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She has been working here ____ five years.,since,for,during,from,b. for,기간을 나타낼 때 'for + 기간'을 사용합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. Neither of the students ____ prepared for the exam.,is,are,was,were,a. is,'Neither'는 단수 의미이므로 동사도 단수형 'is'를 사용해야 합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 틀린 것을 고르시오. They has a big house.,has,a,big,house,a. has,"주어 'They'는 복수이므로 동사 'have'를 사용해야 하며, 'has'는 틀렸습니다."
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She will visit her grandparents ____ the weekend.,on,at,in,during,a. on,'on the weekend'은 적절한 표현입니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. He suggested that she ____ the report by tomorrow.,finish,finishes,to finish,finished,a. finish,제안이나 요구를 나타내는 동사 'suggest'는 'that + 주어 + 동사원형' 구조를 취합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. If he ____ earlier, he wouldn't have missed the train.",arrives,arrived,had arrived,would arrive,c. had arrived,가정법 과거완료 구조입니다. 과거 사실과 반대의 상황을 나타냅니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 옳은 것을 고르시오. She ________ to the store every morning.,goes,go,going,gone,a. goes,현재 시제의 일반 동사 'go'의 3인칭 단수형은 'goes'입니다.
다음 문장에서 빈칸에 알맞은 말을 고르시오. They ________ for two hours when I arrived.,have been waiting,had been waiting,are waiting,waiting,b. had been waiting,"과거 진행형의 완료형으로, 'when' 뒤의 과거 시점 동안 계속된 행동을 나타냅니다."
다음 문장에서 옳은 문장을 고르시오.,He can plays the piano.,He can play the piano.,He can playing the piano.,He can played the piano.,b. He can play the piano.,"조동사 'can' 뒤에는 동사 원형이 와야 하며, 'plays'는 틀립니다."
다음 문장에서 문법적으로 옳지 않은 것을 고르시오.,I have finished my homework.,She has gone to the market.,They has arrived.,We have seen that movie.,c. They has arrived.,'They'는 복수 형이기 때문에 'has' 대신 'have'를 써야 합니다.
빈칸에 들어갈 적절한 전치사를 고르시오. He is interested _______ learning languages.,on,in,at,about,b. in,'interested'는 'in'과 함께 사용됩니다.
다음 문장에서 올바른 문장을 고르시오.,She is used to wake up early.,She is used to waking up early.,She used to wake up early.,She using to wake up early.,b. She is used to waking up early.,"'used to'는 '~하는 것에 익숙하다'라는 의미로, 동명사를 사용합니다."
다음 문장에서 빈칸에 가장 적합한 말을 고르시오. I suggest that he ________ more carefully.,works,work,worked,working,b. work,'suggest'는 that절에서 동사 원형을 사용합니다.
다음 중 문장의 시제와 일치하는 것은? They _____ to the park tomorrow.,go,will go,went,gone,b. will go,"미래 시제를 나타내는 'will + 동사원형'이 적절하며, 'tomorrow'와 시제 일치가 중요합니다."
"다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. If I _____ you, I would apologize.",was,were,am,be,b. were,가정법 과거에서 주어가 'I'인 경우에는 'were'를 사용합니다.
다음 문장에서 빈칸에 들어갈 적절한 단어를 고르시오. She is good at _____ the piano.,play,playing,played,plays,b. playing,"'be good at' 뒤에는 동사 원형 또는 동명사가 올 수 있으며, 여기서는 동명사 'playing'이 적합합니다."
다음 문장에서 문법적 오류를 찾으시오. Neither of the boys _____ finished their homework.,have,finished,their,None,a. have,"'Neither'는 단수취급이므로 'has'가 옳으며, 'have'는 오류입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. He _____ like pizza.,does,like,liked,liking,a. does,"일반 현재 시제에서 3인칭 단수 주어와 함께 'does'를 사용하며, 동사 원형이 뒤따릅니다."
다음 문장에서 빈칸에 알맞은 표현을 넣으시오. I suggest that he _____ harder.,studies,study,studied,studying,b. study,"'suggest that' 구문에서는 동사원형을 써야 하며, 따라서 'study'가 적합합니다."
다음 문장에서 문법적으로 올바른 것을 고르시오. She _____ working here for five years.,has been,have been,had been,is,a. has been,"현재완료진행형은 'has been + 동사 원형 + ing' 형태로, 지속적 행위를 나타냅니다."
"다음 문장에서 문법적 오류를 찾으시오. If he had studied harder, he would have passed the exam.",had studied,would have passed,None,both a and b,c. None,"이 문장은 가정법 과거완료 구조로, 올바르게 사용되었으며 오류가 없습니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She often ___ her homework before dinner.,finish,finishes,finished,finishing,b. finishes,"현재 시제의 일반 동사 사용에 관한 문제입니다. ""She often""은 반복적인 행동을 나타내므로 동사에 -s를 붙인 현재 시제 형태가 맞습니다."
